Name,URL,Description,Process,Variety,all_combined,exlc_name_combined
Burundi Rwiri Yagikawa Lot 2,https://www.sweetmarias.com/burundi-rwiri-yagikawa-lot-2-6637.html,"A medium-bodied coffee with silky mouthfeel, raw sugar sweetness, opening up to hints of herbal tea, dark spice, tangy lemon, a complex citrus aromatic note, and sweet finish. City to Full City.",Wet Washed,Bourbon,"Burundi Rwiri Yagikawa Lot 2, A medium-bodied coffee with silky mouthfeel, raw sugar sweetness, opening up to hints of herbal tea, dark spice, tangy lemon, a complex citrus aromatic note, and sweet finish. City to Full City., Wet Washed, Bourbon","A medium-bodied coffee with silky mouthfeel, raw sugar sweetness, opening up to hints of herbal tea, dark spice, tangy lemon, a complex citrus aromatic note, and sweet finish. City to Full City., Wet Washed, Bourbon"
Burundi Yeast Fermentation Nemba,https://www.sweetmarias.com/burundi-yeast-fermentation-nemba-6748.html,"Scores high is in acidity and sweetness, light roast present accents of creamed honey, tea cakes with powdered sugar, clove spice powder, and mouth cleansing lemon note. City to City+.",Wet Washed,Bourbon,"Burundi Yeast Fermentation Nemba, Scores high is in acidity and sweetness, light roast present accents of creamed honey, tea cakes with powdered sugar, clove spice powder, and mouth cleansing lemon note. City to City+., Wet Washed, Bourbon","Scores high is in acidity and sweetness, light roast present accents of creamed honey, tea cakes with powdered sugar, clove spice powder, and mouth cleansing lemon note. City to City+., Wet Washed, Bourbon"
Cameroon Caplami Java Cultivar,https://www.sweetmarias.com/cameroon-caplami-java-cultivar-6927.html,"An interesting, thick bodied cup, notes of caramel and molasses, cinnamon, pipe tobacco, powdered orange drink, malted grains, aromatic woody dimension. City++ to Full City+.",Wet Washed,Heirloom,"Cameroon Caplami Java Cultivar, An interesting, thick bodied cup, notes of caramel and molasses, cinnamon, pipe tobacco, powdered orange drink, malted grains, aromatic woody dimension. City++ to Full City+., Wet Washed, Heirloom","An interesting, thick bodied cup, notes of caramel and molasses, cinnamon, pipe tobacco, powdered orange drink, malted grains, aromatic woody dimension. City++ to Full City+., Wet Washed, Heirloom"
Congo Kivu Kalehe Cooperative,https://www.sweetmarias.com/congo-kivu-kalehe-cooperative-6737.html,"Sweet, spiced and with tangy citrus accents, flavor notes of orange, cardamom pod and clove, marmalade spread, and the acidic impression is grabby like grapefruit. City to Full City.",Wet Washed,Bourbon,"Congo Kivu Kalehe Cooperative, Sweet, spiced and with tangy citrus accents, flavor notes of orange, cardamom pod and clove, marmalade spread, and the acidic impression is grabby like grapefruit. City to Full City., Wet Washed, Bourbon","Sweet, spiced and with tangy citrus accents, flavor notes of orange, cardamom pod and clove, marmalade spread, and the acidic impression is grabby like grapefruit. City to Full City., Wet Washed, Bourbon"
Ethiopia Bensa Kebele Mirado,https://www.sweetmarias.com/ethiopia-bensa-kebele-mirado-6596.html,"A thread of honey sweetness throughout, floral like raw honey whipped with the comb, honey-sweetened black tea, creamy caramels, bright citrus notes, lemon-like acidic impression. City to City+.",Wet Washed,Heirloom,"Ethiopia Bensa Kebele Mirado, A thread of honey sweetness throughout, floral like raw honey whipped with the comb, honey-sweetened black tea, creamy caramels, bright citrus notes, lemon-like acidic impression. City to City+., Wet Washed, Heirloom","A thread of honey sweetness throughout, floral like raw honey whipped with the comb, honey-sweetened black tea, creamy caramels, bright citrus notes, lemon-like acidic impression. City to City+., Wet Washed, Heirloom"
Ethiopia Dry Process Abiyot Bobea,https://www.sweetmarias.com/ethiopia-dry-process-shakiso-bobea-6612.html,"A wide range of flavors easily manipulated by roast development, strawberry, caramelized pineapple, dehydrated fruits, hazelnut chocolate, moderate acidity like fruit juice. City to Full City. Good for espresso.",Dry Natural,Heirloom,"Ethiopia Dry Process Abiyot Bobea, A wide range of flavors easily manipulated by roast development, strawberry, caramelized pineapple, dehydrated fruits, hazelnut chocolate, moderate acidity like fruit juice. City to Full City. Good for espresso., Dry Natural, Heirloom","A wide range of flavors easily manipulated by roast development, strawberry, caramelized pineapple, dehydrated fruits, hazelnut chocolate, moderate acidity like fruit juice. City to Full City. Good for espresso., Dry Natural, Heirloom"
Ethiopia Dry Process Bogale Deyaso,https://www.sweetmarias.com/ethiopia-dry-process-bogale-deyaso-6698.html,"Rustic fruit flavors, molasses sugars, fragrant foresty accents, notes of dehydrated apricot, prune, and tamarind, aromatic cedar, and bittersweet bass notes. City+ to Full City+.",Dry Natural,Heirloom,"Ethiopia Dry Process Bogale Deyaso, Rustic fruit flavors, molasses sugars, fragrant foresty accents, notes of dehydrated apricot, prune, and tamarind, aromatic cedar, and bittersweet bass notes. City+ to Full City+., Dry Natural, Heirloom","Rustic fruit flavors, molasses sugars, fragrant foresty accents, notes of dehydrated apricot, prune, and tamarind, aromatic cedar, and bittersweet bass notes. City+ to Full City+., Dry Natural, Heirloom"
Ethiopia Dry Process Buno Dambi Uddo,https://www.sweetmarias.com/ethiopia-dry-process-buno-dambi-uddo-6974.html,"A fruit salad of flavors, peach, mango, and honey dew melon, passion fruit florals, and with moderate acidity that's a bit like stone fruit. Add an overlay of deep chocolate bass notes with heavier roasting. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Buno Dambi Uddo, A fruit salad of flavors, peach, mango, and honey dew melon, passion fruit florals, and with moderate acidity that's a bit like stone fruit. Add an overlay of deep chocolate bass notes with heavier roasting. City to Full City., Dry Natural, Heirloom","A fruit salad of flavors, peach, mango, and honey dew melon, passion fruit florals, and with moderate acidity that's a bit like stone fruit. Add an overlay of deep chocolate bass notes with heavier roasting. City to Full City., Dry Natural, Heirloom"
Ethiopia Dry Process Dambi Uddo Site,https://www.sweetmarias.com/ethiopia-dry-process-dambi-uddo-site-6613.html,"Interplay of chocoalte bittering elements and fruit sweetness, dried pineapple, berry, tropical fruits, hints of dark malt and molasses, a long and complex aftertaste. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Dambi Uddo Site, Interplay of chocoalte bittering elements and fruit sweetness, dried pineapple, berry, tropical fruits, hints of dark malt and molasses, a long and complex aftertaste. City to Full City., Dry Natural, Heirloom","Interplay of chocoalte bittering elements and fruit sweetness, dried pineapple, berry, tropical fruits, hints of dark malt and molasses, a long and complex aftertaste. City to Full City., Dry Natural, Heirloom"
Ethiopia Dry Process Hambela Goro,https://www.sweetmarias.com/ethiopia-dry-process-hambela-goro-6611.html,"Potent aromatics and intense fruited character, raspberry jam, strawberry taffy, dried dark fruits, floral berry, big body and mild acidity. Full City roasts have a flavor note of chocolate-covered dried blueberries. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Hambela Goro, Potent aromatics and intense fruited character, raspberry jam, strawberry taffy, dried dark fruits, floral berry, big body and mild acidity. Full City roasts have a flavor note of chocolate-covered dried blueberries. City to Full City., Dry Natural, Heirloom","Potent aromatics and intense fruited character, raspberry jam, strawberry taffy, dried dark fruits, floral berry, big body and mild acidity. Full City roasts have a flavor note of chocolate-covered dried blueberries. City to Full City., Dry Natural, Heirloom"
Ethiopia Dry Process Mahamed Aba Nura,https://www.sweetmarias.com/ethiopia-dry-process-mahamed-aba-nura-6656.html,"The sweetness is pronounced in the brewed coffee, with discernible flavors of blackberry, dried blueberry dusted with dark cocoa powder, and a subtle floral aroma. A complex pour over brew. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Mahamed Aba Nura, The sweetness is pronounced in the brewed coffee, with discernible flavors of blackberry, dried blueberry dusted with dark cocoa powder, and a subtle floral aroma. A complex pour over brew. City to Full City., Dry Natural, Heirloom","The sweetness is pronounced in the brewed coffee, with discernible flavors of blackberry, dried blueberry dusted with dark cocoa powder, and a subtle floral aroma. A complex pour over brew. City to Full City., Dry Natural, Heirloom"
Ethiopia Dry Process Mahamed Aba Nura,https://www.sweetmarias.com/ethiopia-dry-process-mahamed-aba-nura-6967.html,"Pronounced sweetness and fruited from start to finish, notes of palm sugar, molasses, mixed berry, Medjool date, prune, moderate acidity level, and a subtle floral blueberry aroma. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Mahamed Aba Nura, Pronounced sweetness and fruited from start to finish, notes of palm sugar, molasses, mixed berry, Medjool date, prune, moderate acidity level, and a subtle floral blueberry aroma. City to Full City., Dry Natural, Heirloom","Pronounced sweetness and fruited from start to finish, notes of palm sugar, molasses, mixed berry, Medjool date, prune, moderate acidity level, and a subtle floral blueberry aroma. City to Full City., Dry Natural, Heirloom"
Ethiopia Dry Process Mansur Aba Hikam,https://www.sweetmarias.com/ethiopia-dry-process-mansur-aba-hikam-6657.html,"Cleaner, more refined cup flavors than many other naturals, a full-bodied brew with well-articulated acidity, notes of blueberry, fig jam, maple, and palm sugar. City to City+.",Dry Natural,Heirloom,"Ethiopia Dry Process Mansur Aba Hikam, Cleaner, more refined cup flavors than many other naturals, a full-bodied brew with well-articulated acidity, notes of blueberry, fig jam, maple, and palm sugar. City to City+., Dry Natural, Heirloom","Cleaner, more refined cup flavors than many other naturals, a full-bodied brew with well-articulated acidity, notes of blueberry, fig jam, maple, and palm sugar. City to City+., Dry Natural, Heirloom"
Ethiopia Dry Process Mansur Aba Hikam,https://www.sweetmarias.com/ethiopia-dry-process-mansur-aba-hikam-6970.html,"Lighter roasts promise an overlay of palm sugar and pancake syrup notes, accents of dried fig, and coconut date rolls. Dark roasts show molasses and intense chocolate bittersweets. City to Full City+. Good for espresso.",Dry Natural,Heirloom,"Ethiopia Dry Process Mansur Aba Hikam, Lighter roasts promise an overlay of palm sugar and pancake syrup notes, accents of dried fig, and coconut date rolls. Dark roasts show molasses and intense chocolate bittersweets. City to Full City+. Good for espresso., Dry Natural, Heirloom","Lighter roasts promise an overlay of palm sugar and pancake syrup notes, accents of dried fig, and coconut date rolls. Dark roasts show molasses and intense chocolate bittersweets. City to Full City+. Good for espresso., Dry Natural, Heirloom"
Ethiopia Dry Process Tarekech Werasa,https://www.sweetmarias.com/ethiopia-dry-process-tarekech-werasa-6701.html,"Tarekech Waresa touches on dried, unsulfured fruits such as apricot and raspberry, as well as a blueberry taffy note, with a rustic herbal hint roasted cacao nib and chocolate-covered strawberry in the finish. City to Full City. ",Dry Natural,Heirloom,"Ethiopia Dry Process Tarekech Werasa, Tarekech Waresa touches on dried, unsulfured fruits such as apricot and raspberry, as well as a blueberry taffy note, with a rustic herbal hint roasted cacao nib and chocolate-covered strawberry in the finish. City to Full City. , Dry Natural, Heirloom","Tarekech Waresa touches on dried, unsulfured fruits such as apricot and raspberry, as well as a blueberry taffy note, with a rustic herbal hint roasted cacao nib and chocolate-covered strawberry in the finish. City to Full City. , Dry Natural, Heirloom"
Ethiopia Dry Process Taye Gedo,https://www.sweetmarias.com/ethiopia-dry-process-taye-gedo-6700.html,"Complex fruit and wood spice aromatics, tamarind, dried berry and a bittersweet backdrop when roasted medium to dark. City+ to Full City+. Stellar espresso blend component (read review). ",Dry Natural,Heirloom,"Ethiopia Dry Process Taye Gedo, Complex fruit and wood spice aromatics, tamarind, dried berry and a bittersweet backdrop when roasted medium to dark. City+ to Full City+. Stellar espresso blend component (read review). , Dry Natural, Heirloom","Complex fruit and wood spice aromatics, tamarind, dried berry and a bittersweet backdrop when roasted medium to dark. City+ to Full City+. Stellar espresso blend component (read review). , Dry Natural, Heirloom"
Ethiopia Dry Process Tesema Mamo,https://www.sweetmarias.com/ethiopia-dry-process-tesema-mamo-6697.html,"Rustic sorghum syrup, opaque bittersweetness, leathery dried fruit, strawberry, very high % cacao bar, aromatic balsa wood aroma, dried goji. Full City to Full City+. The cup is nice, but I prefer it as espresso!",Dry Natural,Heirloom,"Ethiopia Dry Process Tesema Mamo, Rustic sorghum syrup, opaque bittersweetness, leathery dried fruit, strawberry, very high % cacao bar, aromatic balsa wood aroma, dried goji. Full City to Full City+. The cup is nice, but I prefer it as espresso!, Dry Natural, Heirloom","Rustic sorghum syrup, opaque bittersweetness, leathery dried fruit, strawberry, very high % cacao bar, aromatic balsa wood aroma, dried goji. Full City to Full City+. The cup is nice, but I prefer it as espresso!, Dry Natural, Heirloom"
Ethiopia Dry Process Tesfaye Doni,https://www.sweetmarias.com/ethiopia-dry-process-tesfaye-doni-6699.html,"Big fruited flavors of dried strawberry, natural apricot, and banana bread, along with aromatic wood and fruited florals in the nose. City to Full City. Good for espresso.",Dry Natural,Heirloom,"Ethiopia Dry Process Tesfaye Doni, Big fruited flavors of dried strawberry, natural apricot, and banana bread, along with aromatic wood and fruited florals in the nose. City to Full City. Good for espresso., Dry Natural, Heirloom","Big fruited flavors of dried strawberry, natural apricot, and banana bread, along with aromatic wood and fruited florals in the nose. City to Full City. Good for espresso., Dry Natural, Heirloom"
Ethiopia Dry Process Yirga Cheffe Aricha,https://www.sweetmarias.com/ethiopia-dry-process-yirga-cheffe-aricha-6680.html,"City and City+ roasts show notes of strawberry, apricot and tart fruited notes that add clean brightness to the flavor profile. Fruits are intertwined with chocolate roast flavors in the long finish. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Yirga Cheffe Aricha, City and City+ roasts show notes of strawberry, apricot and tart fruited notes that add clean brightness to the flavor profile. Fruits are intertwined with chocolate roast flavors in the long finish. City to Full City., Dry Natural, Heirloom","City and City+ roasts show notes of strawberry, apricot and tart fruited notes that add clean brightness to the flavor profile. Fruits are intertwined with chocolate roast flavors in the long finish. City to Full City., Dry Natural, Heirloom"
Ethiopia Dry Process Yirga Cheffe Aricha,https://www.sweetmarias.com/ethiopia-dry-process-yirga-cheffe-aricha-6955.html,"An intense, heavy handed dry process, big body and complex cup profile, dried berries and mango, stone fruit hint, dark chocolate-covered raisin, chocolate bar with additions of dried fruit and nut. City to Full City.",Dry Natural,Heirloom,"Ethiopia Dry Process Yirga Cheffe Aricha, An intense, heavy handed dry process, big body and complex cup profile, dried berries and mango, stone fruit hint, dark chocolate-covered raisin, chocolate bar with additions of dried fruit and nut. City to Full City., Dry Natural, Heirloom","An intense, heavy handed dry process, big body and complex cup profile, dried berries and mango, stone fruit hint, dark chocolate-covered raisin, chocolate bar with additions of dried fruit and nut. City to Full City., Dry Natural, Heirloom"
Ethiopia Gedeb Banko Gotiti,https://www.sweetmarias.com/ethiopia-banko-gutiti-gedeb-6931.html,"Such a juicy sweetness in the cup, like sweet citrus and stone fruit, tangerine at its core, top notes of sweet lime, honey, orange spice tea, and a citrus acidic impression that's refreshing in a way. City to City+. ",Wet Washed,Heirloom,"Ethiopia Gedeb Banko Gotiti, Such a juicy sweetness in the cup, like sweet citrus and stone fruit, tangerine at its core, top notes of sweet lime, honey, orange spice tea, and a citrus acidic impression that's refreshing in a way. City to City+. , Wet Washed, Heirloom","Such a juicy sweetness in the cup, like sweet citrus and stone fruit, tangerine at its core, top notes of sweet lime, honey, orange spice tea, and a citrus acidic impression that's refreshing in a way. City to City+. , Wet Washed, Heirloom"
Ethiopia Gedeb Worka Wuri,https://www.sweetmarias.com/ethiopia-gedeb-worka-wuri-6932.html,"Worka Wuri has it all: overt floral jasmine, sweet red honey, spiced aromatics, and a fruited side that includes orange juice (flavor and acidity), salmon berry, blackberry, currant jam, and marmalade. Wow! City to City+. *No 20 LB bags*",Wet Washed,Heirloom,"Ethiopia Gedeb Worka Wuri, Worka Wuri has it all: overt floral jasmine, sweet red honey, spiced aromatics, and a fruited side that includes orange juice (flavor and acidity), salmon berry, blackberry, currant jam, and marmalade. Wow! City to City+. *No 20 LB bags*, Wet Washed, Heirloom","Worka Wuri has it all: overt floral jasmine, sweet red honey, spiced aromatics, and a fruited side that includes orange juice (flavor and acidity), salmon berry, blackberry, currant jam, and marmalade. Wow! City to City+. *No 20 LB bags*, Wet Washed, Heirloom"
Ethiopia Gera Genji Challa,https://www.sweetmarias.com/ethiopia-gera-genji-challa-6616.html,"Underlying honey-like sweetness, flavor notes of fruit preserves, ripe peach, bittering fruit skins, orange peel, vibrant acidity and a complex aromatic highlights of rue herb and kaffir lime leaf. City to Full City. ",Wet Washed,Heirloom,"Ethiopia Gera Genji Challa, Underlying honey-like sweetness, flavor notes of fruit preserves, ripe peach, bittering fruit skins, orange peel, vibrant acidity and a complex aromatic highlights of rue herb and kaffir lime leaf. City to Full City. , Wet Washed, Heirloom","Underlying honey-like sweetness, flavor notes of fruit preserves, ripe peach, bittering fruit skins, orange peel, vibrant acidity and a complex aromatic highlights of rue herb and kaffir lime leaf. City to Full City. , Wet Washed, Heirloom"
Ethiopia Gera Genji Challa,https://www.sweetmarias.com/ethiopia-gera-genji-challa-6963.html,"Genji Challa is highlighted by clover honey sweetness, stone fruits, and aromatic herbals, notes of apricot, peach, orange, bouquet of rue, honeysuckle, and chamomile flower, with impressive, juicy acidity. City to Full City.",Wet Washed,Heirloom,"Ethiopia Gera Genji Challa, Genji Challa is highlighted by clover honey sweetness, stone fruits, and aromatic herbals, notes of apricot, peach, orange, bouquet of rue, honeysuckle, and chamomile flower, with impressive, juicy acidity. City to Full City., Wet Washed, Heirloom","Genji Challa is highlighted by clover honey sweetness, stone fruits, and aromatic herbals, notes of apricot, peach, orange, bouquet of rue, honeysuckle, and chamomile flower, with impressive, juicy acidity. City to Full City., Wet Washed, Heirloom"
Ethiopia Gera Telila,https://www.sweetmarias.com/ethiopia-gera-telila-6966.html,"Light roasts make a stellar pour over brew, brown sugar candies, pressed cane juice, honey florals, in between which we catch glimpses of cranberry, blackberry, orange creamsicle, and brilliant acidity. City to City+.",Wet Washed,Heirloom,"Ethiopia Gera Telila, Light roasts make a stellar pour over brew, brown sugar candies, pressed cane juice, honey florals, in between which we catch glimpses of cranberry, blackberry, orange creamsicle, and brilliant acidity. City to City+., Wet Washed, Heirloom","Light roasts make a stellar pour over brew, brown sugar candies, pressed cane juice, honey florals, in between which we catch glimpses of cranberry, blackberry, orange creamsicle, and brilliant acidity. City to City+., Wet Washed, Heirloom"
Ethiopia Guji Goro Bedessa,https://www.sweetmarias.com/ethiopia-dry-process-goro-bedesa-6984.html,"Goro Bedessa has a red honey sweetness, accent notes of apricot, peach and nectarine, mouth-cleansing acidity, and traces of English Breakfast tea, aromatic jasmine, honeysuckle and rue. City to City+. ",Wet Washed,Heirloom,"Ethiopia Guji Goro Bedessa, Goro Bedessa has a red honey sweetness, accent notes of apricot, peach and nectarine, mouth-cleansing acidity, and traces of English Breakfast tea, aromatic jasmine, honeysuckle and rue. City to City+. , Wet Washed, Heirloom","Goro Bedessa has a red honey sweetness, accent notes of apricot, peach and nectarine, mouth-cleansing acidity, and traces of English Breakfast tea, aromatic jasmine, honeysuckle and rue. City to City+. , Wet Washed, Heirloom"
